user_id,event_id,view_timestamp,duration_minutes
725,72,03-06-2024 18:07,102
1810,460,26-03-2024 09:27,7
1258,357,28-06-2024 11:08,127
605,396,25-05-2024 14:24,106
125,302,01-06-2024 20:40,70
1317,135,03-05-2024 04:10,76
1292,140,18-01-2024 21:18,146
40,300,26-02-2024 04:26,145
1461,140,06-02-2024 21:10,145
993,273,18-02-2024 17:33,79
659,47,16-05-2024 03:42,48
654,204,06-05-2024 04:25,50
120,121,03-04-2024 19:31,112
733,500,16-02-2024 15:19,42
477,286,06-05-2024 19:22,57
508,231,19-03-2024 15:41,49
1093,420,06-06-2024 17:42,52
1565,465,25-05-2024 03:38,41
1734,100,07-06-2024 05:34,90
1916,45,23-06-2024 08:02,67
485,444,25-03-2024 06:58,25
1652,92,06-04-2024 06:34,120
58,416,29-06-2024 02:52,134
721,145,15-06-2024 18:55,63
1154,127,19-05-2024 11:01,114
633,45,21-06-2024 20:36,107
78,212,29-06-2024 05:22,22
477,314,30-01-2024 12:36,73
41,393,24-01-2024 01:29,106
2,85,06-06-2024 02:45,123
413,342,26-06-2024 10:12,88
1469,431,09-06-2024 05:50,56
1730,83,25-02-2024 08:58,52
45,38,11-02-2024 06:33,120
1444,344,18-05-2024 15:07,144
228,442,26-06-2024 06:47,60
748,299,28-06-2024 18:20,135
1930,410,14-02-2024 02:03,95
1201,338,30-06-2024 00:00,88
619,367,04-04-2024 21:04,62
1999,41,30-03-2024 05:14,138
1943,407,16-02-2024 10:40,107
1330,366,13-03-2024 20:02,67
1449,246,22-06-2024 19:12,43
1364,151,31-05-2024 09:55,149
360,249,28-02-2024 02:34,54
1504,320,08-04-2024 01:35,82
261,431,30-05-2024 13:26,51
4,180,30-04-2024 22:33,118
802,198,05-04-2024 18:14,117
67,47,02-05-2024 01:26,122
652,157,18-02-2024 01:38,73
1310,145,16-06-2024 11:11,58
1919,128,25-04-2024 15:20,63
679,61,02-05-2024 10:09,89
655,347,01-02-2024 13:04,126
1814,212,26-06-2024 23:44,57
915,276,13-03-2024 00:53,78
430,66,05-02-2024 07:47,145
222,322,25-02-2024 08:25,45
99,475,08-03-2024 08:21,33
1501,347,13-02-2024 16:45,97
1010,245,20-03-2024 14:14,84
769,312,30-06-2024 00:00,128
1553,42,24-05-2024 13:27,102
151,453,02-06-2024 21:43,23
42,82,17-06-2024 02:19,78
1950,457,25-01-2024 08:31,9
701,286,25-05-2024 16:28,93
